ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Karnataka,1962,157,1,KOLAR GOLD FIELD,SC,S. RAJAGOPAL,M,,,CPI,6886
Karnataka,1962,157,2,KOLAR GOLD FIELD,SC,C. M. ARMUGAM,M,,,REP,6758
Karnataka,1962,157,3,KOLAR GOLD FIELD,SC,P. DORAI RAJ,M,,,INC,5725
Karnataka,1962,157,4,KOLAR GOLD FIELD,SC,S. R. SHANMUGAM,M,,,IND,5095
Karnataka,1962,157,5,KOLAR GOLD FIELD,SC,K. S. GOPAA KRISHNAN,M,,,DMK,1100
Karnataka,1962,157,6,KOLAR GOLD FIELD,SC,M. C. PERUMAL,M,,,IND,221
Karnataka,1962,158,1,BANGARAPET,GEN,E. NARAYANA GOWDA,M,,,IND,19626
Karnataka,1962,158,2,BANGARAPET,GEN,K. V. NARAYANA REDDY,M,,,INC,9513
Karnataka,1962,158,3,BANGARAPET,GEN,CHAMUNDI,M,,,REP,1336
Karnataka,1962,159,1,MALUR,GEN,S. V. RAME GOWDA,M,,,IND,17135
Karnataka,1962,159,2,MALUR,GEN,H. C. LINGA REDDY,M,,,INC,15723
Karnataka,1962,159,3,MALUR,GEN,R. VINODHA DOSS,M,,,REP,639
Karnataka,1962,160,1,MALLESHWARAM,GEN,K. DEVAYA,M,,,IND,8097
Karnataka,1962,160,2,MALLESHWARAM,GEN,K. SRIRAMULU,M,,,INC,7832
Karnataka,1962,160,3,MALLESHWARAM,GEN,B. VENKATASUBBA RAO,M,,,SWA,5438
Karnataka,1962,160,4,MALLESHWARAM,GEN,T. PARTHASARATHY,M,,,IND,5250
Karnataka,1962,160,5,MALLESHWARAM,GEN,A. NAGESHA RAO,M,,,CPI,4524
Karnataka,1962,160,6,MALLESHWARAM,GEN,ANNIAPPAN,M,,,DMK,2648
Karnataka,1962,160,7,MALLESHWARAM,GEN,S. B. SWETHADRI,M,,,JS,985
Karnataka,1962,160,8,MALLESHWARAM,GEN,JAYARAM,M,,,REP,792
Karnataka,1962,160,9,MALLESHWARAM,GEN,B. DASARATHA RAO,M,,,IND,571
Karnataka,1962,161,1,GANDHI NAGAR,GEN,NAGARATHNAMMA HIREMATH,F,,,INC,12958
Karnataka,1962,161,2,GANDHI NAGAR,GEN,H. L. NANJAPPA,M,,,IND,7041
Karnataka,1962,161,3,GANDHI NAGAR,GEN,NATESHAN,M,,,DMK,2774
