,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2255,Karnataka,1972,78,2,BASAVANAGUDI,GEN,S. P. RAJANNA,M,,,NCO,11126.0
2256,Karnataka,1972,78,3,BASAVANAGUDI,GEN,S. KRISHNAIAH,M,,,BJS,8120.0
2257,Karnataka,1972,78,4,BASAVANAGUDI,GEN,HYDER AZEE KHAN,M,,,IND,5387.0
2258,Karnataka,1972,78,5,BASAVANAGUDI,GEN,J. DHANAPAL,M,,,IND,4943.0
2259,Karnataka,1972,78,6,BASAVANAGUDI,GEN,R. M. MUNINANJAPPA,M,,,IND,170.0
2260,Karnataka,1972,78,7,BASAVANAGUDI,GEN,MUNISWAMAPPA,M,,,IND,157.0
2261,Karnataka,1972,78,8,BASAVANAGUDI,GEN,P. C. VENKATEA REDDY,M,,,IND,99.0
2262,Karnataka,1972,79,1,SHIVAJINAGAR,GEN,S. HAMED SHA,M,,,INC,12989.0
2263,Karnataka,1972,79,2,SHIVAJINAGAR,GEN,A. AZEEZ MENON,M,,,IND,7267.0
2264,Karnataka,1972,79,3,SHIVAJINAGAR,GEN,S. J. HUSSAIN,M,,,IND,4429.0
2265,Karnataka,1972,79,4,SHIVAJINAGAR,GEN,K. N. LAKSHMINARASIMHAIAH,M,,,NCO,4135.0
2266,Karnataka,1972,79,5,SHIVAJINAGAR,GEN,C. MUDDE GOWDA,M,,,IND,309.0
2267,Karnataka,1972,80,1,BHARATHINAGAR,GEN,D. POOSALINGAM,M,,,IND,15810.0
2268,Karnataka,1972,80,2,BHARATHINAGAR,GEN,C. SHARADA,M,,,INC,13450.0
2269,Karnataka,1972,80,3,BHARATHINAGAR,GEN,D. BHASHKARAN,M,,,IND,3769.0
2270,Karnataka,1972,80,4,BHARATHINAGAR,GEN,S. SUNDER RAJ,M,,,NCO,3724.0
2271,Karnataka,1972,80,5,BHARATHINAGAR,GEN,M. JAYARAM ALIAS MUSAY,M,,,IND,565.0
2272,Karnataka,1972,80,6,BHARATHINAGAR,GEN,P. C. G. PAUL,M,,,IND,345.0
2273,Karnataka,1972,80,7,BHARATHINAGAR,GEN,KRISHNAKANT MISHRA,M,,,IND,319.0
2274,Karnataka,1972,80,7,BHARATHINAGAR,GEN,K. P. MIR CHANDANI,M,,,IND,319.0
2275,Karnataka,1972,80,9,BHARATHINAGAR,GEN,M. S. MASES,M,,,SWA,303.0
2276,Karnataka,1972,81,1,SHANTI NAGAR,GEN,K. R. SREENIVASULU NAYUDU,M,,,INC,14346.0
2277,Karnataka,1972,81,2,SHANTI NAGAR,GEN,V. SHIVASHANKARA,M,,,IND,10342.0
2278,Karnataka,1972,81,3,SHANTI NAGAR,GEN,P. K. RANGANATHAN,M,,,IND,4892.0
2279,Karnataka,1972,81,4,SHANTI NAGAR,GEN,A. MAMJAPPA,M,,,NCO,4083.0
2280,Karnataka,1972,81,5,SHANTI NAGAR,GEN,D. DEVARAJAN,M,,,BJS,712.0
2281,Karnataka,1972,81,6,SHANTI NAGAR,GEN,A. V. SUNDARAM,M,,,IND,165.0
2282,Karnataka,1972,82,1,YELAHANKA,GEN,A. M. SURYANARAYANA GOWDA,M,,,INC,18751.0
2283,Karnataka,1972,82,2,YELAHANKA,GEN,B. V. RAMACHANDRA REDDY,M,,,NCO,8793.0
2284,Karnataka,1972,82,3,YELAHANKA,GEN,C. BALASUNDARAM,M,,,IND,3086.0
2285,Karnataka,1972,82,4,YELAHANKA,GEN,M. JAYADEVA,M,,,IND,983.0
2286,Karnataka,1972,82,5,YELAHANKA,GEN,B. R. RAME GOWDA,M,,,BJS,651.0
2287,Karnataka,1972,83,1,UTTARAHALLI,SC,B. BASAVALINGAPPA,M,,,INC,21903.0
2288,Karnataka,1972,83,2,UTTARAHALLI,SC,Y. RAMAKRISHNA,M,,,NCO,12704.0
2289,Karnataka,1972,84,1,VARTHUR,SC,K. PRABHAKAR,M,,,INC,19774.0
2290,Karnataka,1972,84,2,VARTHUR,SC,D. MUNICHINNAPPA,M,,,NCO,11500.0
2291,Karnataka,1972,84,3,VARTHUR,SC,MUNISHAMY,M,,,IND,1484.0
2292,Karnataka,1972,85,1,KANAKAPURA,GEN,S. KARIYAPPA,M,,,INC,25121.0
2293,Karnataka,1972,85,2,KANAKAPURA,GEN,K. G. SRINIVASMURTHY,M,,,NCO,12517.0
2294,Karnataka,1972,86,1,SATHANUR,SC,H. PUTTADASA,M,,,INC,23740.0
2295,Karnataka,1972,86,2,SATHANUR,SC,G. C. CHANDRASEKHAR,M,,,NCO,9878.0
2296,Karnataka,1972,87,1,CHANNAPATNA,GEN,T. V. KRISHNAPPA,M,,,INC,29120.0
2297,Karnataka,1972,87,2,CHANNAPATNA,GEN,SIVVARAMAIAH,M,,,NCO,20656.0
2298,Karnataka,1972,87,3,CHANNAPATNA,GEN,M. SHIVALINGAIAH,M,,,IND,1708.0
2299,Karnataka,1972,87,4,CHANNAPATNA,GEN,D. RAMACHANDRAN,M,,,BJS,1304.0
2300,Karnataka,1972,87,5,CHANNAPATNA,GEN,C. S. GUNDAPPA,M,,,IND,507.0
2301,Karnataka,1972,88,1,RAMANAGARAM,GEN,B. PUTTASWAMAIAH,M,,,NCO,26775.0
2302,Karnataka,1972,88,2,RAMANAGARAM,GEN,A. K. ABDUL SAMED,M,,,INC,20978.0
2303,Karnataka,1972,89,1,MAGADI,GEN,H. G. CHANNAPPA,M,,,IND,19948.0
2304,Karnataka,1972,89,2,MAGADI,GEN,C. R. RANGE GOWDA,M,,,NCO,9738.0
2305,Karnataka,1972,89,3,MAGADI,GEN,R. V. SUSHEELAMMA,M,,,INC,9629.0
2306,Karnataka,1972,90,1,KUDUR,GEN,BETTASWAMY GOWDA,M,,,IND,24848.0
2307,Karnataka,1972,90,2,KUDUR,GEN,T. D. MARANNA,M,,,INC,17715.0
2308,Karnataka,1972,91,1,NELAMANGALA,GEN,M. MARE GOWDA,M,,,IND,21977.0
2309,Karnataka,1972,91,2,NELAMANGALA,GEN,T. V. MANUMANTHARAJU,M,,,INC,16871.0
2310,Karnataka,1972,92,1,DODDABALLAPUR,GEN,G. RAMEGOWDA,M,,,INC,36196.0
2311,Karnataka,1972,92,2,DODDABALLAPUR,GEN,D. PILLEGOWDA,M,,,BJS,10086.0
2312,Karnataka,1972,92,3,DODDABALLAPUR,GEN,N. G. R. NAIDU,M,,,NCO,1763.0
2313,Karnataka,1972,93,1,DEVANAHALLI,GEN,M. R. JAYARAM,M,,,INC,28211.0
